asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
btc,btc:m5:1775336100,"Bitcoin Up or Down - April 4, 4:55PM-5:00PM ET",m5,2026-04-04T21:00:00+00:00,-1.71,1239.57,0.0,0.0,0,1.71
btc,btc:m5:1775336400,"Bitcoin Up or Down - April 4, 5:00PM-5:05PM ET",m5,2026-04-04T21:05:00+00:00,125.06,461.09,0.0,0.0,0,-125.06
btc,btc:m5:1775336700,"Bitcoin Up or Down - April 4, 5:05PM-5:10PM ET",m5,2026-04-04T21:10:00+00:00,21.7,578.97,0.0,0.0,0,-21.7
btc,btc:m15:1775336400,"Bitcoin Up or Down - April 4, 5:00PM-5:15PM ET",m15,2026-04-04T21:15:00+00:00,57.0,848.96,0.0,0.0,0,-57.0
btc,btc:m5:1775337000,"Bitcoin Up or Down - April 4, 5:10PM-5:15PM ET",m5,2026-04-04T21:15:00+00:00,66.99,522.13,-23.925,23.925,1,-90.91499999999999
btc,btc:m5:1775337300,"Bitcoin Up or Down - April 4, 5:15PM-5:20PM ET",m5,2026-04-04T21:20:00+00:00,43.5,279.9,0.0,0.0,0,-43.5
btc,btc:m5:1775337600,"Bitcoin Up or Down - April 4, 5:20PM-5:25PM ET",m5,2026-04-04T21:25:00+00:00,-85.19,746.8,0.0,0.0,0,85.19
btc,btc:m5:1775337900,"Bitcoin Up or Down - April 4, 5:25PM-5:30PM ET",m5,2026-04-04T21:30:00+00:00,10.61,261.9,0.0,0.0,0,-10.61
btc,btc:m15:1775337300,"Bitcoin Up or Down - April 4, 5:15PM-5:30PM ET",m15,2026-04-04T21:30:00+00:00,-27.47,633.55,0.0,0.0,0,27.47
btc,btc:m5:1775338200,"Bitcoin Up or Down - April 4, 5:30PM-5:35PM ET",m5,2026-04-04T21:35:00+00:00,205.81,367.23,0.0,0.0,0,-205.81
btc,btc:m5:1775338500,"Bitcoin Up or Down - April 4, 5:35PM-5:40PM ET",m5,2026-04-04T21:40:00+00:00,-55.83,1259.33,0.0,0.0,0,55.83
btc,btc:m5:1775338800,"Bitcoin Up or Down - April 4, 5:40PM-5:45PM ET",m5,2026-04-04T21:45:00+00:00,246.8,1627.96,0.0,0.0,0,-246.8
btc,btc:m15:1775338200,"Bitcoin Up or Down - April 4, 5:30PM-5:45PM ET",m15,2026-04-04T21:45:00+00:00,9.12,1449.29,0.0,0.0,0,-9.12
btc,btc:m5:1775339100,"Bitcoin Up or Down - April 4, 5:45PM-5:50PM ET",m5,2026-04-04T21:50:00+00:00,36.47,340.53,0.0,0.0,0,-36.47
btc,btc:m5:1775339400,"Bitcoin Up or Down - April 4, 5:50PM-5:55PM ET",m5,2026-04-04T21:55:00+00:00,58.3,1725.63,50.840625,23.925,1,-7.459374999999994
btc,btc:m5:1775339700,"Bitcoin Up or Down - April 4, 5:55PM-6:00PM ET",m5,2026-04-04T22:00:00+00:00,360.54,1396.24,-7.6431355932203395,47.355000000000004,2,-368.18313559322036
btc,btc:h1:1775336400,"Bitcoin Up or Down - April 4, 5PM ET",h1,2026-04-04T22:00:00+00:00,1.9,4173.67,0.0,0.0,0,-1.9
btc,btc:m15:1775339100,"Bitcoin Up or Down - April 4, 5:45PM-6:00PM ET",m15,2026-04-04T22:00:00+00:00,87.65,1800.56,0.0,0.0,0,-87.65
btc,btc:m5:1775340000,"Bitcoin Up or Down - April 4, 6:00PM-6:05PM ET",m5,2026-04-04T22:05:00+00:00,67.0,1505.03,0.0,0.0,0,-67.0
btc,btc:m5:1775340300,"Bitcoin Up or Down - April 4, 6:05PM-6:10PM ET",m5,2026-04-04T22:10:00+00:00,-70.54,1593.84,15.605526315789469,47.355000000000004,2,86.14552631578948
btc,btc:m15:1775340000,"Bitcoin Up or Down - April 4, 6:00PM-6:15PM ET",m15,2026-04-04T22:15:00+00:00,73.63,2262.02,0.0,0.0,0,-73.63
btc,btc:m5:1775340600,"Bitcoin Up or Down - April 4, 6:10PM-6:15PM ET",m5,2026-04-04T22:15:00+00:00,-116.06,1603.51,-23.43,23.43,1,92.63
btc,btc:m5:1775340900,"Bitcoin Up or Down - April 4, 6:15PM-6:20PM ET",m5,2026-04-04T22:20:00+00:00,83.13,1353.17,11.783955223880593,23.925,1,-71.3460447761194
btc,btc:m5:1775341200,"Bitcoin Up or Down - April 4, 6:20PM-6:25PM ET",m5,2026-04-04T22:25:00+00:00,419.89,1139.78,5.811666666666664,47.355000000000004,2,-414.0783333333333
