asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
eth,eth:m15:1775349000,"Ethereum Up or Down - April 4, 8:30PM-8:45PM ET",m15,2026-04-05T00:45:00+00:00,118.4,692.31,0.0,0.0,0,-118.4
eth,eth:m5:1775349600,"Ethereum Up or Down - April 4, 8:40PM-8:45PM ET",m5,2026-04-05T00:45:00+00:00,29.56,249.7,0.0,0.0,0,-29.56
eth,eth:m5:1775349900,"Ethereum Up or Down - April 4, 8:45PM-8:50PM ET",m5,2026-04-05T00:50:00+00:00,-3.21,298.03,0.0,0.0,0,3.21
eth,eth:m5:1775350200,"Ethereum Up or Down - April 4, 8:50PM-8:55PM ET",m5,2026-04-05T00:55:00+00:00,-2.49,100.01,0.0,0.0,0,2.49
eth,eth:m5:1775350500,"Ethereum Up or Down - April 4, 8:55PM-9:00PM ET",m5,2026-04-05T01:00:00+00:00,21.53,279.98,1.2993103448275862,6.28,1,-20.230689655172416
eth,eth:h1:1775347200,"Ethereum Up or Down - April 4, 8PM ET",h1,2026-04-05T01:00:00+00:00,-45.56,809.38,0.0,0.0,0,45.56
eth,eth:m15:1775349900,"Ethereum Up or Down - April 4, 8:45PM-9:00PM ET",m15,2026-04-05T01:00:00+00:00,-7.46,29.13,0.0,0.0,0,7.46
eth,eth:m5:1775350800,"Ethereum Up or Down - April 4, 9:00PM-9:05PM ET",m5,2026-04-05T01:05:00+00:00,78.8,420.99,0.0,0.0,0,-78.8
eth,eth:m5:1775351100,"Ethereum Up or Down - April 4, 9:05PM-9:10PM ET",m5,2026-04-05T01:10:00+00:00,63.05,407.19,2.1270967741935474,6.28,1,-60.92290322580645
eth,eth:m15:1775350800,"Ethereum Up or Down - April 4, 9:00PM-9:15PM ET",m15,2026-04-05T01:15:00+00:00,21.96,768.98,2.1871621621621617,6.225,1,-19.77283783783784
eth,eth:m5:1775351400,"Ethereum Up or Down - April 4, 9:10PM-9:15PM ET",m5,2026-04-05T01:15:00+00:00,-57.47,339.12,0.0,0.0,0,57.47
eth,eth:m5:1775351700,"Ethereum Up or Down - April 4, 9:15PM-9:20PM ET",m5,2026-04-05T01:20:00+00:00,8.17,325.43,0.0,0.0,0,-8.17
eth,eth:m5:1775352000,"Ethereum Up or Down - April 4, 9:20PM-9:25PM ET",m5,2026-04-05T01:25:00+00:00,73.12,345.87,0.0,0.0,0,-73.12
eth,eth:m15:1775351700,"Ethereum Up or Down - April 4, 9:15PM-9:30PM ET",m15,2026-04-05T01:30:00+00:00,22.91,598.68,0.0,0.0,0,-22.91
