tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.18,0.45,0.42,0.4,-0.27,-0.04999999999999999,71092.88
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.83,0.54,0.54,0.54,0.2899999999999999,0.0,71088.2
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.43560000000000004,0.61,0.61,0.61,-0.17439999999999994,0.0,71099.99
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.86,0.68,0.68,0.68,0.17999999999999994,0.0,71099.99
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.86,0.68,0.68,0.68,0.17999999999999994,0.0,71099.99
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.8614,0.68,0.68,0.68,0.1814,0.0,71099.99
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.4147,0.67,0.62,0.61,-0.2553,-0.06000000000000005,71111.52
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.11,0.31,0.31,0.3,-0.2,-0.010000000000000009,71109.58
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.87,0.71,0.7,0.7,0.16000000000000003,-0.010000000000000009,71109.57
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.87,0.71,0.7,0.7,0.16000000000000003,-0.010000000000000009,71109.57
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.11,0.31,0.31,0.3,-0.2,-0.010000000000000009,71109.58
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.45,0.59,0.6,0.6,-0.13999999999999996,0.010000000000000009,71104.42
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.47,0.31,0.31,0.33,0.15999999999999998,0.020000000000000018,71115.28
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.06,0.25,0.25,0.25,-0.19,0.0,71115.29
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.92,0.78,0.78,0.76,0.14,-0.020000000000000018,71115.29
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.92,0.78,0.78,0.78,0.14,0.0,71115.28
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.92,0.77,0.77,0.78,0.15000000000000002,0.010000000000000009,71115.29
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.92,0.77,0.77,0.77,0.15000000000000002,0.0,71115.29
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.04,0.19,0.19,0.19,-0.15,0.0,71115.29
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.04,0.19,0.19,0.19,-0.15,0.0,71115.29
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.04,0.19,0.19,0.19,-0.15,0.0,71115.29
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.44,0.62,0.64,0.64,-0.18,0.020000000000000018,71110.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.64,0.53,0.53,0.53,0.10999999999999999,0.0,71110.0
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.94,0.77,0.77,0.77,0.16999999999999993,0.0,71110.0
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.94,0.77,0.77,0.77,0.16999999999999993,0.0,71110.01
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.94,0.77,0.77,0.77,0.16999999999999993,0.0,71110.01
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.94,0.77,0.77,0.77,0.16999999999999993,0.0,71110.01
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.64,0.53,0.53,0.53,0.10999999999999999,0.0,71110.01
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.66,0.53,0.53,0.53,0.13,0.0,71112.95
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.53,0.15,0.15,0.16,0.38,0.010000000000000009,71146.47
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.46,0.88,0.86,0.86,-0.42,-0.020000000000000018,71146.48
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.69,0.58,0.58,0.58,0.10999999999999999,0.0,71158.16
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.72,0.59,0.58,0.58,0.13,-0.010000000000000009,71158.15
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.26,0.09,0.09,0.09,0.17,0.0,71158.15
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.26,0.09,0.09,0.09,0.17,0.0,71158.15
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.28,0.09,0.09,0.09,0.19000000000000003,0.0,71165.47
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.31,0.07,0.06,0.09,0.24,0.01999999999999999,71171.67
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.97,0.98,0.98,0.98,-0.010000000000000009,0.0,71168.97
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.02,0.03,0.03,0.03,-0.009999999999999998,0.0,71168.97
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.5,0.97,0.97,0.96,-0.47,-0.010000000000000009,71168.97
